id1,data_base1,title1,author1,isbn1,title_raw1,author_raw1,isbn_raw1,id2,data_base2,title2,author2,isbn2,title_raw2,author_raw2,isbn_raw2
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/6099>,ILE,poesie,['cremazie octave'],[],Poésie,"['""Crémazie, Octave""']","['""""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://recif.litterature.org/ontologie/entite/oeuvre/6207>,ILE,poesies,['nelligan emile'],['978289052736X'],Poésies,"['""Nelligan, Émile""']","['""2-89052-736-0 (br.)""']"
<http://banq.qc.ca/livre/25299>,Depot_legal,poesie,['martin cote'],[],Poésie,"['""Martin"" ""Côté""']",[],<http://www.sogides.com/livre/143012>,ADP,poesie,['fernand ouellette'],['978289006159X'],Poésie,"['""Fernand Ouellette""']","['""9782890061590""']"
<http://banq.qc.ca/livre/318106>,Depot_legal,les enfants de poseidon,['sylvie catherine de vailly'],['978289703203X'],Les enfants de Poséidon,"['""Sylvie Catherine"" ""De Vailly""']","['""9782897032036""']",https://www.babelio.com/livres/Bergeron-les-enfants-de-Joseph/161649,Babelio,les enfants de joseph,['rene bergeron'],[], les enfants de Joseph ,[['René  Bergeron']],[]
<http://recif.litterature.org/ontologie/entite/oeuvre/8137>,ILE,la main au feu,['giguere roland'],[],La main au feu,"['""Giguère, Roland""']","['""""']",9782897235895,Hurtubise,la main de fer,['sonialaflamme'],"['978289723589X', '978289723590X', '978289723591X']",La Main de fer,[['Sonia K. Laflamme (De (auteur))']],"['9782897235895', '9782897235901', '9782897235918']"
<http://recif.litterature.org/ontologie/entite/oeuvre/9656>,ILE,ode au saint-laurent,['lapointe gatien'],[],Ode au Saint-Laurent,"['""Lapointe, Gatien""']","['""""']",<http://www.sogides.com/livre/306685>,ADP,iles du saint-laurent,['andre croteau'],['978289249527X'],Iles du saint-laurent,"['""André Croteau""']","['""9782892495270""']"
<http://banq.qc.ca/livre/302943>,Depot_legal,memoire de la lumiere,['michele de laplante'],['978292323908X'],Mémoire de la lumière,"['""Michèle de"" ""Laplante""']","['""9782923239088""']",<http://recif.litterature.org/ontologie/entite/oeuvre/8616>,ILE,temoin de la lumiere,['groulx lionel'],[],Témoin de la Lumière,"['""Groulx, Lionel""']","['""""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/8011>,ILE,montreal des ecrivains,['gauvin lise'],[],Montréal des écrivains,"['""Gauvin, Lise""']","['""""']",<http://www.sogides.com/livre/143533>,ADP,montreal des ecrivains,['collectif'],['978289295032X'],Montréal des écrivains,"['""Collectif""']","['""9782892950328""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/8011>,ILE,montreal des ecrivains,['gauvin lise'],[],Montréal des écrivains,"['""Gauvin, Lise""']","['""""']",https://www.babelio.com/livres/Archambault-Montreal-des-ecrivains/241122,Babelio,montreal des ecrivains,['gilles archambault'],['978289295032X'], Montréal des écrivains ,[['Gilles  Archambault']],['9782892950328']
<http://recif.litterature.org/ontologie/entite/oeuvre/21891>,ILE,l intrus,['fortaich alain'],[],L'Intrus,"['""Fortaich, Alain""']","['""""']",<http://banq.qc.ca/livre/203685>,Depot_legal,l intrus,['yves amyot'],['978298101090X'],L'intrus,"['""Yves"" ""Amyot""']","['""9782981010902""']"
